P;V;E;D;GP;GC;SG
65;19;8;7;48;23;25
54;15;9;10;42;39;3
54;14;12;8;33;30;3
52;13;13;8;40;23;17
52;13;13;8;28;23;5
51;14;9;11;44;34;10
48;12;12;10;35;30;5
48;11;15;8;34;32;2
47;12;11;11;35;34;1
47;11;14;9;36;31;5
46;12;10;12;40;36;4
44;11;11;12;32;40;-8
43;11;10;13;33;37;-4
40;10;10;14;40;46;-6
37;8;13;13;36;40;-4
35;9;8;17;30;40;-10
34;8;10;16;25;42;-17
26;8;2;24;27;58;-31
