P;V;E;D;GP;GC;SG
55;15;10;9;43;35;8
55;14;13;7;41;27;14
52;15;7;12;34;34;0
52;14;10;10;43;29;14
51;13;12;9;25;23;2
50;12;14;8;34;24;10
48;13;9;12;36;35;1
48;13;9;12;33;38;-5
48;12;12;10;39;34;5
47;13;8;13;36;33;3
45;11;12;11;33;29;4
43;11;10;13;33;40;-7
42;11;9;14;34;39;-5
41;9;14;11;31;34;-3
38;8;14;12;24;37;-13
37;9;10;15;33;37;-4
37;9;10;15;34;43;-9
33;8;9;17;23;38;-15
