P;V;E;D;GP;GC;SG
63;17;12;9;52;30;22
58;16;10;12;51;39;12
58;16;10;12;43;35;8
57;15;12;11;48;40;8
57;15;12;11;41;41;0
56;15;11;12;43;44;-1
55;15;10;13;46;35;11
55;14;13;11;46;38;8
54;15;9;14;44;42;2
52;13;13;12;40;35;5
51;15;6;17;51;46;5
51;15;6;17;39;39;0
51;15;6;17;44;48;-4
51;13;12;13;42;44;-2
49;14;7;17;28;38;-10
48;13;9;16;41;57;-16
48;12;12;14;40;49;-9
46;12;10;16;34;48;-14
43;9;16;13;23;30;-7
34;8;10;20;30;48;-18
